Date,LCLid
2013-02-03,5487
2013-02-04,5485
2013-02-05,5485
2013-02-06,5485
2013-02-07,5484
2013-02-08,5483
2013-02-09,5483
2013-02-10,5483
2013-02-11,5484
2013-02-12,5484
2013-02-13,5480
2013-02-14,5479
2013-02-15,5480
2013-02-16,5479
2013-02-17,5476
2013-02-18,5478
2013-02-19,5470
2013-02-20,5466
2013-02-21,5468
2013-02-22,5461
2013-02-23,5459
2013-02-24,5458
2013-02-25,5460
2013-02-26,5459
2013-02-27,5459
2013-02-28,5442
2013-03-01,5440
2013-03-02,5439
2013-03-03,5440
2013-03-04,5436
2013-03-05,5435
2013-03-06,5436
2013-03-07,5434
2013-03-08,5429
2013-03-09,5429
2013-03-10,5431
2013-03-11,5431
2013-03-12,5429
2013-03-13,5426
2013-03-14,5424
2013-03-15,5425
2013-03-16,5424
2013-03-17,5422
2013-03-18,5421
2013-03-19,5422
2013-03-20,5420
2013-03-21,5421
2013-03-22,5420
2013-03-23,5417
2013-03-24,5416
2013-03-25,5417
2013-03-26,5416
2013-03-27,5413
2013-03-28,5407
2013-03-29,5407
2013-03-30,5410
2013-03-31,5410
2013-04-01,5405
2013-04-02,5407
2013-04-03,5406
2013-04-04,5405
2013-04-05,5402
2013-04-06,5401
2013-04-07,5400
2013-04-08,5399
2013-04-09,5398
2013-04-10,5396
2013-04-11,5395
2013-04-12,5395
2013-04-13,5394
2013-04-14,5393
2013-04-15,5393
2013-04-16,5392
2013-04-17,5391
2013-04-18,5389
2013-04-19,5383
2013-04-20,5385
2013-04-21,5388
2013-04-22,5385
2013-04-23,5384
2013-04-24,5386
2013-04-25,5388
2013-04-26,5384
2013-04-27,5381
2013-04-28,5381
2013-04-29,5381
2013-04-30,5380
2013-05-01,5380
2013-05-02,5377
2013-05-03,5375
2013-05-04,5373
2013-05-05,5371
2013-05-06,5371
2013-05-07,5373
2013-05-08,5371
2013-05-09,5370
2013-05-10,5370
2013-05-11,5370
2013-05-12,5369
2013-05-13,5367
2013-05-14,5369
2013-05-15,5369
2013-05-16,5365
2013-05-17,5362
2013-05-18,5363
2013-05-19,5362
2013-05-20,5361
2013-05-21,5362
2013-05-22,5360
2013-05-23,5356
2013-05-24,5359
2013-05-25,5359
2013-05-26,5358
2013-05-27,5358
2013-05-28,5357
2013-05-29,5358
2013-05-30,5355
2013-05-31,5357
2013-06-01,5356
2013-06-02,5353
2013-06-03,5355
2013-06-04,5354
2013-06-05,5353
2013-06-06,5352
2013-06-07,5349
2013-06-08,5348
2013-06-09,5346
2013-06-10,5342
2013-06-11,5343
2013-06-12,5338
2013-06-13,5342
2013-06-14,5341
2013-06-15,5338
2013-06-16,5339
2013-06-17,5338
2013-06-18,5338
2013-06-19,5339
2013-06-20,5338
2013-06-21,5337
2013-06-22,5338
2013-06-23,5335
2013-06-24,5333
2013-06-25,5335
2013-06-26,5336
2013-06-27,5338
2013-06-28,5336
2013-06-29,5334
2013-06-30,5335
2013-07-01,5335
2013-07-02,5336
2013-07-03,5333
2013-07-04,5330
2013-07-05,5322
2013-07-06,5317
2013-07-07,5316
2013-07-08,5316
2013-07-09,5313
2013-07-10,5313
2013-07-11,5316
2013-07-12,5311
2013-07-13,5311
2013-07-14,5309
2013-07-15,5308
2013-07-16,5310
2013-07-17,5309
2013-07-18,5308
2013-07-19,5309
2013-07-20,5309
2013-07-21,5306
2013-07-22,5306
2013-07-23,5304
2013-07-24,5300
2013-07-25,5301
2013-07-26,5297
2013-07-27,5297
2013-07-28,5296
2013-07-29,5295
2013-07-30,5294
2013-07-31,5294
2013-08-01,5291
2013-08-02,5289
2013-08-03,5288
2013-08-04,5286
2013-08-05,5289
2013-08-06,5285
2013-08-07,5281
2013-08-08,5280
2013-08-09,5280
2013-08-10,5281
2013-08-11,5283
2013-08-12,5278
2013-08-13,5277
2013-08-14,5279
2013-08-15,5279
2013-08-16,5278
2013-08-17,5270
2013-08-18,5262
2013-08-19,5261
2013-08-20,5265
2013-08-21,5266
2013-08-22,5263
2013-08-23,5253
2013-08-24,5251
2013-08-25,5251
2013-08-26,5250
2013-08-27,5251
2013-08-28,5252
2013-08-29,5252
2013-08-30,5252
2013-08-31,5250
2013-09-01,5249
2013-09-02,5251
2013-09-03,5251
2013-09-04,5249
2013-09-05,5248
2013-09-06,5243
2013-09-07,5244
2013-09-08,5246
2013-09-09,5245
2013-09-10,5243
2013-09-11,5241
2013-09-12,5237
2013-09-13,5237
2013-09-14,5237
2013-09-15,5234
2013-09-16,5233
2013-09-17,5232
2013-09-18,5233
2013-09-19,5225
2013-09-20,5225
2013-09-21,5220
2013-09-22,5219
2013-09-23,5219
2013-09-24,5220
2013-09-25,5220
2013-09-26,5220
2013-09-27,5216
2013-09-28,5219
2013-09-29,5219
2013-09-30,5218
2013-10-01,5210
2013-10-02,5211
2013-10-03,5209
2013-10-04,5209
2013-10-05,5208
2013-10-06,5206
2013-10-07,5206
2013-10-08,5205
2013-10-09,5204
2013-10-10,5207
2013-10-11,5209
2013-10-12,5208
2013-10-13,5206
2013-10-14,5205
2013-10-15,5201
2013-10-16,5199
2013-10-17,5195
2013-10-18,5197
2013-10-19,5197
2013-10-20,5195
2013-10-21,5195
2013-10-22,5196
2013-10-23,5194
2013-10-24,5195
2013-10-25,5194
2013-10-26,5194
2013-10-27,5194
2013-10-28,5196
2013-10-29,5195
2013-10-30,5193
2013-10-31,5191
2013-11-01,5191
2013-11-02,5193
2013-11-03,5193
2013-11-04,5190
2013-11-05,5188
2013-11-06,5189
2013-11-07,5186
2013-11-08,5183
2013-11-09,5187
2013-11-10,5188
2013-11-11,5188
2013-11-12,5184
2013-11-13,5186
2013-11-14,5185
2013-11-15,5185
2013-11-16,5182
2013-11-17,5180
2013-11-18,5182
2013-11-19,5173
2013-11-20,5167
2013-11-21,5162
2013-11-22,5160
2013-11-23,5158
2013-11-24,5138
2013-11-25,5138
2013-11-26,5138
2013-11-27,5132
2013-11-28,5131
2013-11-29,5130
2013-11-30,5129
2013-12-01,5128
2013-12-02,5127
2013-12-03,5125
2013-12-04,5125
2013-12-05,5127
2013-12-06,5120
2013-12-07,5120
2013-12-08,5121
2013-12-09,5120
2013-12-10,5114
2013-12-11,5110
2013-12-12,5109
2013-12-13,5111
2013-12-14,5112
2013-12-15,5110
2013-12-16,5109
2013-12-17,5109
2013-12-18,5110
2013-12-19,5111
2013-12-20,5111
2013-12-21,5110
2013-12-22,5107
2013-12-23,5108
2013-12-24,5106
2013-12-25,5103
2013-12-26,5103
2013-12-27,5104
2013-12-28,5103
2013-12-29,5103
2013-12-30,5103
2013-12-31,5099
2014-01-01,5099
2014-01-02,5101
2014-01-03,5101
2014-01-04,5099
2014-01-05,5101
2014-01-06,5101
2014-01-07,5101
2014-01-08,5100
2014-01-09,5082
2014-01-10,5082
2014-01-11,5080
2014-01-12,5083
2014-01-13,5082
2014-01-14,5081
2014-01-15,5081
2014-01-16,5079
2014-01-17,5077
2014-01-18,5078
2014-01-19,5069
2014-01-20,5063
2014-01-21,5072
2014-01-22,5076
2014-01-23,5074
2014-01-24,5068
2014-01-25,5068
2014-01-26,5069
2014-01-27,5068
2014-01-28,5064
2014-01-29,5065
2014-01-30,5063
2014-01-31,5061
2014-02-01,5059
2014-02-02,5050
2014-02-03,5051
2014-02-04,5051
2014-02-05,5041
2014-02-06,5043
2014-02-07,5040
2014-02-08,5039
2014-02-09,5035
2014-02-10,5035
2014-02-11,5033
2014-02-12,5031
2014-02-13,5029
2014-02-14,5031
2014-02-15,5019
2014-02-16,5018
2014-02-17,5016
2014-02-18,5009
2014-02-19,5008
2014-02-20,5006
2014-02-21,5004
2014-02-22,5006
2014-02-23,4998
2014-02-24,4994
2014-02-25,4995
2014-02-26,4993
2014-02-27,4990
2014-02-28,4987
